mpg,cylinders,displacement,horsepower,weight,acceleration
13,8,360,175,3821,11
15,8,390,190,3850,8.5
17,8,304,150,3672,11.5
19.4,6,232,90,3210,17.2
24.3,4,151,90,3003,20.1
18.1,6,258,120,3410,15.1
20.2,6,232,90,3265,18.2
21,6,199,90,2648,15
19,6,232,100,2634,13
18,6,232,100,2789,15
20,6,232,100,2914,16
18,6,199,97,2774,15.5
18,6,232,100,2945,16
19,6,232,100,2901,16
22.5,6,232,90,3085,17.6
18,6,258,110,2962,13.5
18,6,232,100,3288,15.5
14,8,304,150,3672,11.5
16,6,258,110,3632,18
15,6,258,110,3730,19
15.5,8,304,120,3962,13.9
15,8,304,150,3892,12.5
14,8,304,150,4257,15.5
19,6,232,90,3211,17
17.5,6,258,95,3193,17.8
16,8,304,150,3433,12
27.4,4,121,80,2670,15
24,4,107,90,2430,14.5
20,4,114,91,2582,14
23,4,115,95,2694,15
